Agents  ,Total,Retire,Current,Future
male-regular,-0.324643041571619,-3.66583435394224,-2.85745920957692,2.00786628664263
female-regular,-0.786912549246496,-3.70708862294527,-3.34425896373185,1.40790311975651
male-contingent,-0.304112795554415,-3.19533966900971,-2.60137977870666,1.76225038437272
female-contingent,-0.751019066265768,-3.40784086863076,-3.13745933220129,1.27300694433901
